id,title,authors,venue,year,type,link
1,"Cyberinfrastructure for machine learning applications in agriculture: experiences, analysis, and vision","L Waltz; S Katari; C Hong; A Anup; J Colbert; A Potlapally; T Dill; C Porter; J Engle; C Stewart; H Subramoni","Frontiers in Artificial Intelligence 7, 1496066",2025,Journal,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1496066/pdf
2,"Understanding and Characterizing Communication Characteristics for Distributed Transformer Models","Q Anthony; B Michalowicz; J Hatef; L Xu; M Abduljabbar; A Shafi; H Subramoni; DK Panda","IEEE Micro",2025,Journal,
3,"OHIO: Enhancing RDMA Scalability in Alltoall with Optimized Communication Overlap","T Tran; GKR Kuncham; B Ramesh; S Xu; H Subramoni; DK Panda","IEEE Micro",2025,Journal,
4,"Effective and Efficient Offloading Designs for One-Sided Communication to SmartNICs","B Michalowicz; KK Suresh; H Subramoni; M Abduljabbar; DK Panda; S Poole","2024 IEEE 31st International Conference on High Performance Computing",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10627110
5,"HyperSack: Distributed Hyperparameter Optimization for Deep Learning using Resource-Aware Scheduling on Heterogeneous GPU Systems","N Alnaasan; B Ramesh; J Yao; A Shafi; H Subramoni; DK Panda","2024 IEEE 31st International Conference on High Performance Computing",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10568435
6,"Design and Implementation of Kernel-based MPI Reduction Operations for Intel GPU s","CC Chen; GKR Kuncham; H Subramoni; DK Panda","2024 IEEE 31st International Conference on High Performance Computing",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10627112
7,"Using BlueField-3 SmartNICs to Offload Vector Operations in Krylov Subspace Methods","KK Suresh; B Michalowicz; N Contini; B Ramesh; M Abduljabbar; A Shafi; H Subramoni; D Panda","2024 IEEE 31st International Conference on High Performance Computing",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10627104
8,"Scaling Large Language Model Training on Frontier with Low-Bandwidth Partitioning","L Xu; Q Anthony; J Hatef; A Shafi; H Subramoni; DK Panda","2024 IEEE 31st International Conference on High Performance Computing",2024,Conferences & Workshops,https://arxiv.org/pdf/2501.04266
9,"OHIO: Improving RDMA network scalability in MPI_alltoall through optimized hierarchical and intra/inter-node communication overlap design","T Tran; GKR Kuncham; B Ramesh; S Xu; H Subramoni; M Abduljabbar; DK Panda","2024 IEEE Symposium on High-Performance Interconnects (HOTI)",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10553731
10,"Characterizing Communication in Distributed Parameter-Efficient Fine-Tuning for Large Language Models","N Alnaasan; HR Huang; A Shafi; H Subramoni; DK Panda","2024 IEEE Symposium on High-Performance Interconnects (HOTI)",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10540035
11,"Demystifying the communication characteristics for distributed transformer models","Q Anthony; B Michalowicz; J Hatef; L Xu; M Abduljabbai; A Shafi; H Subramoni; DK Panda","2024 IEEE Symposium on High-Performance Interconnects (HOTI)",2024,Conferences & Workshops,https://arxiv.org/pdf/2408.10197
12,"The case for co-designing model architectures with hardware","Q Anthony; J Hatef; D Narayanan; S Biderman; S Bekman; J Yin; A Shafi; H Subramoni; D Panda","53rd International Conference on Parallel Processing",2024,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3673038.3673136
13,"The Case for Co-Designing Model Architectures with Hardware","J Yin; Q Anthony; J Hatef; D Narayanan; S Biderman; S Bekman; A Shaf; H Subramoni; DK Panda","Oak Ridge National Laboratory (ORNL)",2024,Technical Reports,https://www.osti.gov/servlets/purl/2434350
14,"Omb-cxl: A micro-benchmark suite for evaluating mpi communication utilizing compute express link memory devices","T Tran; M Abduljabbar; H Ahn; S Kim; Y Park; W Han; S Ahn; H Subramoni; DK Panda","PEARC 2024",2024,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3626203.3670533
15,"OMB-FPGA: A Microbenchmark Suite for FPGA-aware MPIs using OpenCL and SYCL","N Contini; M Abduljabbar; H Subramoni; DK Panda","PEARC 2024",2024,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3626203.3670518
16,"Infer-HiRes: Accelerating Inference for High-Resolution Images with Quantization and Distributed Deep Learning","R Gulhane; Q Anthony; A Shafi; H Subramoni; DK Panda","PEARC 2024",2024,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3626203.3670548
17,"Design and Implementation of an IPC-based Collective MPI Library for Intel GPUs","CC Chen; GKR Kuncham; P Kousha; H Subramoni; DK Panda","PEARC 2024",2024,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3626203.3670549
18,"PML-MPI: A Pre-Trained ML Framework for Efficient Collective Algorithm Selection in MPI","M Han; GKR Kuncham; B Michalowicz; R Vaidya; M Abduljabbar; A Shafi; H Subramoni; DK Panda","IPDPS 2024",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10568459
19,"HINT: Designing Cache-Efficient MPI_Alltoall using Hybrid Memory Copy Ordering and Non-Temporal Instructions","B Ramesh; N Contini; N Alnaasan; KK Suresh; M Abduljabbar; A Shafi; H Subramoni; DK Panda","IPDPS 2024",2024,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10524857
20,"Exploiting inter-layer expert affinity for accelerating mixture-of-experts model inference","J Yao; Q Anthony; A Shafi; H Subramoni; DK Panda","IPDPS 2024",2024,Conferences & Workshops,https://arxiv.org/pdf/2401.08383
21,"Accelerating MPI AllReduce Communication with Efficient GPU-Based Compression Schemes on Modern GPU Clusters","Q Zhou; B Ramesh; A Shafi; M Abduljabbar; H Subramoni; DK Panda","ISC High Performance 2024",2024,Conferences & Workshops,https://ieeexplore.ieee.org/iel7/10528919/10528920/10528931.pdf
22,"Accelerating large language model training with hybrid gpu-based compression","L Xu; Q Anthony; Q Zhou; N Alnaasan; R Gulhane; A Shafi; H Subramoni; DK Panda","2024 IEEE 24th International Symposium on Cluster, Cloud and Internet",2024,Conferences & Workshops,https://arxiv.org/pdf/2409.02423
23,"Accelerating communication with multi-HCA aware collectives in MPI","T Tran; B Ramesh; B Michalowicz; M Abduljabbar; H Subramoni; A Shafi; DK Panda","Concurrency and Computation: Practice and Experience 36 (1)",2024,Journal,https://par.nsf.gov/servlets/purl/10464671
24,"Optimized All-to-All Connection Establishment for High-Performance MPI Libraries Over InfiniBand","S Xu; GKR Kuncham; M Abduljabbar; H Subramoni; DK Panda","2023 IEEE 30th International Conference on High Performance Computing",2023,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10524864
25,"Flover: A Temporal Fusion Framework for Efficient Autoregressive Model Parallel Inference","J Yao; N Alnaasan; T Chen; A Shafi; H Subramoni; DK Panda","2023 IEEE 30th International Conference on High Performance Computing",2023,Conferences & Workshops,https://arxiv.org/pdf/2305.13484
26,"MPI4Spark Meets YARN: Enhancing MPI4Spark through YARN support for HPC","K Al-Attar; A Shafi; H Subramoni; DK Panda","2023 IEEE International Conference on Big Data (BigData)",2023,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10568458
27,"HARVEST: High-Performance Artificial Vision Framework for Expert Labeling using Semi-Supervised Training","N Alnaasan; M Lieber; A Shafi; H Subramoni; S Shearer; DK Panda","2023 IEEE International Conference on Big Data (BigData)",2023,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10505614
28,"Benchmarking Modern Databases for Storing and Profiling Very Large Scale HPC Communication Data","P Kousha; Q Zhou; H Subramoni; DK Panda","International Symposium on Benchmarking, Measuring and Optimization",2023,Conferences & Workshops,
29,"Democratizing hpc access and use with knowledge graphs","P Kousha; V Sathu; M Lieber; H Subramoni; DK Panda","SC'23 Workshops",2023,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3624062.3624094
30,"Mpi-xccl: A portable mpi library over collective communication libraries for various accelerators","CC Chen; K Shafie Khorassani; P Kousha; Q Zhou; J Yao; H Subramoni; DK Panda","SC'23 Workshops",2023,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3624062.3624153
31,"Designing and optimizing GPU-aware nonblocking MPI neighborhood collective communication for PETSc","KS Khorassani; CC Chen; H Subramoni; DK Panda","IPDPS 2023",2023,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10464669
